Date,Evergrande,Vanke,Country Garden,ASM base
2021/8/31,7129.75 ,16877.85 ,8220.00 ,16681.31 
2021/7/31,8055.20 ,16782.81 ,8350.77 ,16534.20 
2021/6/30,7801.98 ,17078.28 ,8465.08 ,16154.00 
2021/5/31,8169.37 ,15040.50 ,8814.13 ,16346.90 
2021/4/30,8376.15 ,16127.67 ,8892.26 ,17091.90 
2021/3/31,8254.78 ,14630.97 ,8870.37 ,16425.04 
2021/2/28,8701.78 ,16350.47 ,8849.81 ,16782.89 
2021/1/31,8865.16 ,17930.26 ,8842.11 ,17485.05 
2020/12/31,8739.71 ,15811.27 ,8721.09 ,17444.21 
2020/11/30,9051.02 ,14589.25 ,8644.48 ,16363.91 
2020/8/31,9669.42 ,14292.35 ,8516.59 ,16144.42 
2020/7/31,9337.29 ,14700.81 ,8515.15 ,16427.98 
2020/6/30,8891.62 ,13885.07 ,8557.58 ,15934.70 
2020/5/31,9458.14 ,14979.70 ,8521.19 ,15746.64 
2020/4/30,9145.86 ,14630.11 ,8362.14 ,16956.98 
2020/3/31,8938.80 ,15842.81 ,8437.59 ,15930.03 
2020/2/29,8705.72 ,15783.41 ,8319.19 ,15614.65 
2020/1/31,9016.00 ,14530.55 ,8252.63 ,16084.40 
2019/12/31,9629.28 ,16183.60 ,8301.58 ,16898.31 
2019/11/30,9589.00 ,16464.77 ,8686.02 ,16565.86 
2019/10/31,9336.00 ,13816.30 ,8524.14 ,16638.11 
2019/9/30,10054.00 ,14962.96 ,8285.12 ,16911.81 
2019/8/31,10717.97 ,15989.68 ,8600.00 ,15025.97 
2019/7/31,10543.00 ,15369.50 ,8939.34 ,15620.95 
2019/6/30,10811.00 ,15908.44 ,9058.03 ,15380.45 
2019/5/31,10764.00 ,15371.61 ,8924.53 ,16304.63 
2019/4/30,10527.00 ,13568.36 ,9094.88 ,16627.95 
2019/3/31,10709.00 ,15844.26 ,9335.05 ,16116.38 
2019/2/28,10635.00 ,16262.16 ,9295.28 ,15922.85 
2019/1/31,11134.00 ,15918.42 ,9343.69 ,17438.78 
2018/12/31,10399.74 ,17507.09 ,8214.15 ,15585.41 
2018/11/30,10431.00 ,15385.58 ,8657.07 ,16734.66 
2018/10/31,10649.00 ,14362.89 ,7141.18 ,16376.79 
2018/9/30,10504.00 ,16400.45 ,8417.91 ,16229.20 
2018/8/31,10538.00 ,15842.37 ,9205.48 ,16393.42 
2018/7/31,10813.00 ,14353.72 ,9493.54 ,16173.26 
2018/6/30,10562.00 ,14895.10 ,9054.91 ,16080.35 
2018/5/31,10859.00 ,14713.17 ,9047.67 ,16499.06 
2018/4/30,10844.00 ,14587.69 ,9767.09 ,16463.07 
2018/3/31,10471.00 ,15330.71 ,8507.14 ,16058.89 
2018/2/28,9894.00 ,16261.65 ,9472.67 ,16026.24 
2018/1/31,10319.00 ,13934.56 ,9023.10 ,16314.20 
