Date,AF222581 Corp,ZP316923 Corp,AM915538 Corp,AO063630 Corp
2021/9/16,27.00 ,24.99 ,30.92 ,28.97 
2021/9/15,27.00 ,24.99 ,29.17 ,29.02 
2021/9/14,29.99 ,30.00 ,27.50 ,28.45 
2021/9/13,32.05 ,34.02 ,33.21 ,31.77 
2021/9/10,34.50 ,32.22 ,35.00 ,30.78 
2021/9/9,34.32 ,34.00 ,30.59 ,27.75 
2021/9/8,38.50 ,50.00 ,27.00 ,25.50 
2021/9/7,39.00 ,54.09 ,31.50 ,26.66 
2021/9/3,54.90 ,64.99 ,32.75 ,26.43 
2021/9/2,58.33 ,69.33 ,34.85 ,28.27 
2021/9/1,64.80 ,74.00 ,37.55 ,29.60 
2021/8/31,66.80 ,74.00 ,45.47 ,33.78 
2021/8/30,65.00 ,76.30 ,48.44 ,36.62 
2021/8/27,62.35 ,75.90 ,48.45 ,36.96 
2021/8/26,62.10 ,76.99 ,48.44 ,37.46 
2021/8/25,60.99 ,77.49 ,52.04 ,40.37 
2021/8/24,50.00 ,70.98 ,51.52 ,39.69 
2021/8/23,53.78 ,71.96 ,49.50 ,39.19 
2021/8/20,49.98 ,69.00 ,51.94 ,40.58 
2021/8/19,47.00 ,64.00 ,46.81 ,37.49 
2021/8/18,39.99 ,58.00 ,49.26 ,38.62 
2021/8/17,33.92 ,58.00 ,51.55 ,42.30 
2021/8/16,40.51 ,60.83 ,56.00 ,42.32 
2021/8/13,44.68 ,68.00 ,59.98 ,45.30 
2021/8/12,45.66 ,65.00 ,60.03 ,45.31 
2021/8/11,48.47 ,68.33 ,59.87 ,45.52 
2021/8/10,53.59 ,65.50 ,56.45 ,45.04 
2021/8/9,56.39 ,65.40 ,53.00 ,40.86 
2021/8/6,59.35 ,66.30 ,53.11 ,41.33 
2021/8/5,61.80 ,70.20 ,53.81 ,41.00 
2021/8/4,61.74 ,70.75 ,57.12 ,47.19 
2021/8/3,61.74 ,68.88 ,56.82 ,45.39 
2021/8/2,62.49 ,68.38 ,56.35 ,44.76 
2021/7/30,61.97 ,65.00 ,56.21 ,44.64 
2021/7/29,65.56 ,72.20 ,54.71 ,43.89 
2021/7/28,67.19 ,74.38 ,59.50 ,44.88 
2021/7/27,65.06 ,73.00 ,60.24 ,47.08 
2021/7/26,69.24 ,75.40 ,59.38 ,52.15 
2021/7/23,68.20 ,73.38 ,67.82 ,53.80 
2021/7/22,69.32 ,75.60 ,65.90 ,52.98 
2021/7/21,72.02 ,78.30 ,60.75 ,48.88 
2021/7/20,67.48 ,74.90 ,69.53 ,57.98 
2021/7/19,68.92 ,78.90 ,77.05 ,58.99 
2021/7/16,79.00 ,86.32 ,84.66 ,65.50 
2021/7/15,79.99 ,87.40 ,84.47 ,64.22 
2021/7/14,79.95 ,86.49 ,84.81 ,64.47 
2021/7/13,82.30 ,89.50 ,84.46 ,65.28 
2021/7/12,82.40 ,89.75 ,85.48 ,65.61 
2021/7/9,83.00 ,89.85 ,83.64 ,64.30 
2021/7/8,83.34 ,90.94 ,80.76 ,60.64 
2021/7/7,82.79 ,91.00 ,79.02 ,60.62 
2021/7/6,84.50 ,91.43 ,78.95 ,59.93 
2021/7/2,84.40 ,91.77 ,85.46 ,66.99 
2021/7/1,84.40 ,91.68 ,86.37 ,66.84 
2021/6/30,83.00 ,90.56 ,86.83 ,66.59 
2021/6/29,82.80 ,90.50 ,90.56 ,67.94 
2021/6/28,83.37 ,90.50 ,90.55 ,69.00 
2021/6/25,83.49 ,90.90 ,90.46 ,68.99 
2021/6/24,82.47 ,89.60 ,90.49 ,68.49 
2021/6/23,82.50 ,89.65 ,90.51 ,69.59 
2021/6/22,82.33 ,90.01 ,90.68 ,71.30 
2021/6/21,81.98 ,89.80 ,91.56 ,72.98 
2021/6/18,81.99 ,89.12 ,89.81 ,72.58 
2021/6/17,82.51 ,89.50 ,89.75 ,72.11 
2021/6/16,80.16 ,89.00 ,87.46 ,71.51 
2021/6/15,80.05 ,88.88 ,87.38 ,70.25 
2021/6/11,79.81 ,88.88 ,87.28 ,70.70 
2021/6/10,84.00 ,89.70 ,87.35 ,70.03 
2021/6/9,86.20 ,89.90 ,92.23 ,72.07 
2021/6/8,87.98 ,89.94 ,92.37 ,73.65 
2021/6/7,86.17 ,90.00 ,92.32 ,74.71 
2021/6/4,88.79 ,88.60 ,91.72 ,74.04 
2021/6/3,88.91 ,91.20 ,91.73 ,73.70 
2021/6/2,90.20 ,91.62 ,95.00 ,78.00 
2021/6/1,88.18 ,91.31 ,99.58 ,77.27 
2021/5/28,93.20 ,95.00 ,99.55 ,84.23 
2021/5/27,94.03 ,95.60 ,99.62 ,84.49 
2021/5/26,95.00 ,95.52 ,99.63 ,84.52 
2021/5/25,95.70 ,97.00 ,99.51 ,83.90 
