spread_nov,spread_mar,industry,key
81.2056,79.1187,real estate,1
81.7139,71.8965,real estate,2
81.8484,89.2605,real estate,3
82.1048,118.853,real estate,4
86.1551,100.151,real estate,5
87.5098,97.4238,real estate,6
87.7909,86.9439,real estate,7
88.4405,70.6794,real estate,8
89.6659,102.5,real estate,9
89.6691,254.428,real estate,10
89.9166,77.155,real estate,11
91.1301,87.3177,real estate,12
92.1569,106.323,real estate,13
92.4454,101.677,real estate,14
95.5133,115.906,real estate,15
96.9105,98.5728,real estate,16
103.92,106.714,real estate,17
103.957,202.381,real estate,18
104.762,92.9696,real estate,19
104.774,131.2,real estate,20
104.98,109.963,real estate,21
105.344,123.273,real estate,22
106.326,165.741,real estate,23
106.372,106.825,real estate,24
106.392,94.5583,real estate,25
107.824,120.43,real estate,26
109.494,114.812,real estate,27
110.712,151.467,real estate,28
112.642,160.483,real estate,29
113.941,124.63,real estate,30
116.043,137.807,real estate,31
116.129,112.119,real estate,32
117.341,180.948,real estate,33
117.651,186.906,real estate,34
120.575,186.918,real estate,35
122.307,163.885,real estate,36
122.811,154.739,real estate,37
124.028,155.669,real estate,38
127.154,185.307,real estate,39
127.483,122.135,real estate,40
129.197,174.751,real estate,41
130.157,151.095,real estate,42
130.194,159.075,real estate,43
132.408,187.502,real estate,44
132.69,69.8472,real estate,45
133.705,205.718,real estate,46
134.826,126.575,real estate,47
135.985,499.033,real estate,48
136.375,109.678,real estate,49
137.108,139.428,real estate,50
140.027,169.114,real estate,51
140.855,370.541,real estate,52
141.264,84.4479,real estate,53
141.269,88.2979,real estate,54
144.372,191.659,real estate,55
145.078,90.7361,real estate,56
145.998,205.785,real estate,57
146.042,181.72,real estate,58
148.443,111.395,real estate,59
148.82,120.627,real estate,60
149.623,124.277,real estate,61
149.741,161.6,real estate,62
150.105,162.153,real estate,63
150.121,189.284,real estate,64
150.787,111.088,real estate,65
151.921,343.944,real estate,66
152.431,159.85,real estate,67
152.836,167.319,real estate,68
153.785,370.89,real estate,69
153.911,112.025,real estate,70
156.04,193.017,real estate,71
157.105,196.927,real estate,72
157.615,152.909,real estate,73
157.728,197.132,real estate,74
157.835,155.668,real estate,75
158.901,109.269,real estate,76
162.732,196.624,real estate,77
172.486,191.371,real estate,78
176.434,116.26,real estate,79
179.2,160.734,real estate,80
186.377,315.449,real estate,81
188.648,229.008,real estate,82
192.284,167.572,real estate,83
195.013,298.454,real estate,84
198.349,300.249,real estate,85
205.139,180.271,real estate,86
205.32,173.401,real estate,87
206.42,123.067,real estate,88
209.07,238.107,real estate,89
210.614,356.186,real estate,90
212.442,343.605,real estate,91
212.975,269.733,real estate,92
219.062,192.651,real estate,93
221.881,245.745,real estate,94
221.886,180.253,real estate,95
221.913,260.142,real estate,96
222.744,346.692,real estate,97
224.076,325.498,real estate,98
224.719,220.973,real estate,99
228.131,365.919,real estate,100
237.985,205.059,real estate,101
245.158,240.574,real estate,102
266.537,518.834,real estate,103
268.647,428.373,real estate,104
86.3822,86.495,transportation,105
86.9439,81.0244,transportation,106
88.2883,83.5435,transportation,107
88.8013,87.3938,transportation,108
90.7359,103.025,transportation,109
93.2875,134.186,transportation,110
96.591,100.03,transportation,111
114.549,166.585,transportation,112
143.709,161.143,transportation,113
157.698,161.77,transportation,114
158.644,182.877,transportation,115
160.265,143.549,transportation,116
165.609,161.786,transportation,117
167.348,159.795,transportation,118
167.349,166.166,transportation,119
173.176,211.739,transportation,120
188.738,268.529,transportation,121
220.87,341.149,transportation,122
227.455,308.552,transportation,123
233.826,267.239,transportation,124
234.518,260.159,transportation,125
236.51,336.633,transportation,126
240.918,264.162,transportation,127
241.228,269.107,transportation,128
249.709,283.894,transportation,129
