g_spread_nov,g_spread_march,key,industry
86.9439,81.0244,1,transportation
88.2883,83.5435,2,transportation
88.8013,87.3938,3,transportation
90.7359,103.025,4,transportation
93.2875,134.186,5,transportation
96.591,100.03,6,transportation
114.549,166.585,7,transportation
143.709,161.143,8,transportation
157.698,161.77,9,transportation
160.265,143.549,10,transportation
165.609,161.786,11,transportation
167.348,159.795,12,transportation
167.349,166.166,13,transportation
173.176,211.739,14,transportation
188.738,268.529,15,transportation
227.455,308.552,16,transportation
233.826,267.239,17,transportation
234.518,260.159,18,transportation
236.51,336.633,19,transportation
240.918,264.162,20,transportation
241.228,269.107,21,transportation
303.551,249.6,22,transportation
329.597,311.207,23,transportation
383.721,342.638,24,transportation
81.8484,89.2605,25,real estate
82.1048,118.853,26,real estate
86.1551,100.151,27,real estate
87.5098,97.4238,28,real estate
87.7909,86.9439,29,real estate
88.4405,70.6794,30,real estate
89.6659,102.5,31,real estate
89.6691,254.428,32,real estate
89.9166,77.155,33,real estate
91.1301,87.3177,34,real estate
92.1569,106.323,35,real estate
92.4454,101.677,36,real estate
95.5133,115.906,37,real estate
96.9105,98.5728,38,real estate
103.92,106.714,39,real estate
103.957,202.381,40,real estate
104.762,92.9696,41,real estate
104.774,131.2,42,real estate
104.98,109.963,43,real estate
105.344,123.273,44,real estate
106.326,165.741,45,real estate
106.372,106.825,46,real estate
106.392,94.5583,47,real estate
107.824,120.43,48,real estate
109.494,114.812,49,real estate
110.712,151.467,50,real estate
112.642,160.483,51,real estate
113.941,124.63,52,real estate
116.043,137.807,53,real estate
116.129,112.119,54,real estate
117.341,180.948,55,real estate
117.651,186.906,56,real estate
120.575,186.918,57,real estate
122.307,163.885,58,real estate
122.811,154.739,59,real estate
124.028,155.669,60,real estate
127.154,185.307,61,real estate
127.483,122.135,62,real estate
129.197,174.751,63,real estate
130.157,151.095,64,real estate
130.194,159.075,65,real estate
132.408,187.502,66,real estate
132.69,69.8472,67,real estate
133.705,205.718,68,real estate
134.826,126.575,69,real estate
135.985,499.033,70,real estate
136.375,109.678,71,real estate
137.108,139.428,72,real estate
140.027,169.114,73,real estate
140.855,370.541,74,real estate
141.264,84.4479,75,real estate
141.269,88.2979,76,real estate
144.372,191.659,77,real estate
145.078,90.7361,78,real estate
145.998,205.785,79,real estate
146.042,181.72,80,real estate
148.443,111.395,81,real estate
148.82,120.627,82,real estate
149.623,124.277,83,real estate
149.741,161.6,84,real estate
150.105,162.153,85,real estate
150.121,189.284,86,real estate
150.787,111.088,87,real estate
151.921,343.944,88,real estate
152.431,159.85,89,real estate
152.836,167.319,90,real estate
153.785,370.89,91,real estate
153.911,112.025,92,real estate
156.04,193.017,93,real estate
157.105,196.927,94,real estate
157.615,152.909,95,real estate
157.728,197.132,96,real estate
157.835,155.668,97,real estate
158.901,109.269,98,real estate
162.732,196.624,99,real estate
172.486,191.371,100,real estate
179.2,160.734,101,real estate
186.377,315.449,102,real estate
188.648,229.008,103,real estate
192.284,167.572,104,real estate
195.013,298.454,105,real estate
198.349,300.249,106,real estate
205.139,180.271,107,real estate
205.32,173.401,108,real estate
209.07,238.107,109,real estate
210.614,356.186,110,real estate
212.442,343.605,111,real estate
212.975,269.733,112,real estate
219.062,192.651,113,real estate
221.881,245.745,114,real estate
221.886,180.253,115,real estate
221.913,260.142,116,real estate
222.744,346.692,117,real estate
224.076,325.498,118,real estate
224.719,220.973,119,real estate
228.131,365.919,120,real estate
237.985,205.059,121,real estate
245.158,240.574,122,real estate
266.537,518.834,123,real estate
268.647,428.373,124,real estate
274.064,327.352,125,real estate
274.377,455.727,126,real estate
297.94,350.45,127,real estate
