Season,Name,Age,Squad,Competition,Minutes,Goal,Assist,Non penalty,Penalty,Penalty attempt,Shoot,Off target,On target,Blocked,Rating,Pass,Acclb,Inacclb,accsp,inaccsp,Keypass,Yellow,Red
2003-2004,Ronaldo,18,Manchester Utd,Champions Lg,291 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,0 ,0 
2003-2004,Ronaldo,18,Manchester Utd,Premier League,1548 ,4 ,4 ,4 ,0 ,0 ,,,,,,,,,,,,4 ,1 
2004-2005,Ronaldo,19,Manchester Utd,Champions Lg,502 ,0 ,2 ,0 ,0 ,0 ,,,,,,,,,,,,0 ,0 
2004-2005,Ronaldo,19,Manchester Utd,Premier League,2423 ,5 ,4 ,5 ,0 ,0 ,,,,,,,,,,,,4 ,0 
2005-2006,Ronaldo,20,Manchester Utd,Champions Lg,506 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,1 ,0 
2005-2006,Ronaldo,20,Manchester Utd,Premier League,2286 ,9 ,6 ,9 ,0 ,0 ,,,,,,,,,,,,8 ,1 
2006-2007,Ronaldo,21,Manchester Utd,Champions Lg,959 ,3 ,4 ,3 ,0 ,0 ,,,,,,,,,,,,3 ,0 
2006-2007,Ronaldo,21,Manchester Utd,Premier League,2794 ,17 ,8 ,14 ,3 ,4 ,,,,,,,,,,,,2 ,0 
2007-2008,Ronaldo,22,Manchester Utd,Champions Lg,1015 ,8 ,2 ,7 ,1 ,1 ,,,,,,,,,,,,2 ,0 
2007-2008,Ronaldo,22,Manchester Utd,Premier League,2747 ,31 ,6 ,27 ,4 ,5 ,,,,,,,,,,,,5 ,1 
2008-2009,Ronaldo,23,Manchester Utd,Champions Lg,1010 ,4 ,2 ,4 ,0 ,0 ,,,,,,,,,,,,2 ,0 
2008-2009,Ronaldo,23,Manchester Utd,Premier League,2743 ,18 ,6 ,14 ,4 ,4 ,,,,,,,,,,,,6 ,1 
2009-2010,Ronaldo,24,Real Madrid,Champions Lg,450 ,7 ,1 ,7 ,0 ,0 ,32 ,11 ,15 ,6 ,8.47 ,216 ,5 ,2 ,171 ,38 ,9 ,0 ,0 
2009-2010,Ronaldo,24,Real Madrid,La Liga,2461 ,26 ,7 ,22 ,4 ,5 ,211 ,76 ,94 ,41 ,8.54 ,1119 ,15 ,9 ,877 ,218 ,75 ,4 ,2 
2010-2011,Ronaldo,25,Real Madrid,Champions Lg,1022 ,6 ,4 ,5 ,1 ,1 ,73 ,28 ,25 ,20 ,7.87 ,490 ,6 ,0 ,408 ,76 ,21 ,2 ,0 
2010-2011,Ronaldo,25,Real Madrid,La Liga,2914 ,40 ,9 ,32 ,8 ,8 ,250 ,88 ,102 ,60 ,8.35 ,1253 ,23 ,11 ,925 ,294 ,67 ,2 ,0 
2011-2012,Ronaldo,26,Real Madrid,Champions Lg,930 ,10 ,3 ,8 ,2 ,2 ,72 ,28 ,29 ,15 ,8.42 ,409 ,7 ,7 ,315 ,80 ,24 ,1 ,0 
2011-2012,Ronaldo,26,Real Madrid,La Liga,3350 ,46 ,12 ,34 ,12 ,13 ,264 ,104 ,102 ,58 ,8.28 ,1405 ,40 ,11 ,1092 ,262 ,60 ,4 ,0 
2012-2013,Ronaldo,27,Real Madrid,Champions Lg,1080 ,12 ,1 ,12 ,0 ,0 ,81 ,25 ,32 ,24 ,7.93 ,470 ,10 ,5 ,362 ,93 ,23 ,1 ,0 
2012-2013,Ronaldo,27,Real Madrid,La Liga,2716 ,34 ,10 ,28 ,6 ,7 ,235 ,76 ,105 ,54 ,8.15 ,1083 ,20 ,17 ,811 ,235 ,63 ,9 ,0 
2013-2014,Ronaldo,28,Real Madrid,Champions Lg,993 ,17 ,5 ,15 ,2 ,3 ,73 ,22 ,37 ,14 ,8.57 ,385 ,10 ,5 ,314 ,56 ,21 ,1 ,0 
2013-2014,Ronaldo,28,Real Madrid,La Liga,2534 ,31 ,9 ,25 ,6 ,6 ,216 ,79 ,93 ,44 ,8.27 ,956 ,25 ,3 ,742 ,186 ,48 ,4 ,1 
2014-2015,Ronaldo,29,Real Madrid,Champions Lg,1065 ,10 ,4 ,7 ,3 ,4 ,71 ,17 ,30 ,24 ,7.83 ,428 ,5 ,3 ,344 ,76 ,16 ,1 ,0 
2014-2015,Ronaldo,29,Real Madrid,La Liga,3100 ,48 ,16 ,38 ,10 ,12 ,225 ,83 ,99 ,43 ,8.48 ,1181 ,20 ,8 ,933 ,220 ,76 ,5 ,1 
2015-2016,Ronaldo,30,Real Madrid,Champions Lg,1109 ,16 ,4 ,14 ,2 ,0 ,92 ,27 ,38 ,27 ,8.06 ,407 ,5 ,2 ,334 ,66 ,23 ,1 ,0 
2015-2016,Ronaldo,30,Real Madrid,La Liga,3182 ,35 ,11 ,29 ,6 ,9 ,227 ,92 ,98 ,37 ,7.99 ,1070 ,12 ,7 ,838 ,213 ,51 ,3 ,0 
2016-2017,Ronaldo,31,Real Madrid,Champions Lg,1200 ,12 ,6 ,12 ,0 ,0 ,69 ,25 ,24 ,20 ,7.89 ,411 ,4 ,1 ,353 ,53 ,20 ,1 ,0 
2016-2017,Ronaldo,31,Real Madrid,La Liga,2537 ,25 ,6 ,19 ,6 ,7 ,162 ,67 ,61 ,34 ,7.61 ,770 ,11 ,2 ,605 ,152 ,31 ,4 ,0 
2017-2018,Ronaldo,32,Real Madrid,Champions Lg,1170 ,15 ,2 ,11 ,4 ,4 ,82 ,35 ,34 ,13 ,8.12 ,387 ,5 ,4 ,310 ,68 ,15 ,2 ,0 
