Date,HS Property Index,CSI 300 REAL ESTATE INDEX
2021/8/31,31441.85 ,6015.76 
2021/8/30,31555.46 ,5851.32 
2021/8/27,31609.64 ,6094.79 
2021/8/26,31360.74 ,6120.70 
2021/8/25,31606.28 ,6235.29 
2021/8/24,31625.35 ,6473.01 
2021/8/23,31540.38 ,6462.04 
2021/8/20,31486.45 ,6510.34 
2021/8/19,31683.11 ,6509.21 
2021/8/18,32331.71 ,6690.54 
2021/8/17,32192.23 ,6598.49 
2021/8/16,32528.48 ,6529.81 
2021/8/13,32297.57 ,6477.45 
2021/8/12,32407.30 ,6519.67 
2021/8/11,32543.23 ,6635.91 
2021/8/10,31751.01 ,6271.06 
2021/8/9,31639.58 ,6296.34 
2021/8/6,31283.62 ,5950.98 
2021/8/5,31473.76 ,5929.10 
2021/8/4,31998.28 ,5777.84 
2021/8/3,32150.06 ,5833.52 
2021/8/2,32247.24 ,5863.80 
2021/7/30,31831.34 ,5782.17 
2021/7/29,32593.70 ,5789.34 
2021/7/28,32495.96 ,5784.76 
2021/7/27,32104.10 ,5809.05 
2021/7/26,32942.85 ,6083.18 
2021/7/23,33968.44 ,6480.53 
2021/7/22,34220.05 ,6567.74 
2021/7/21,33603.10 ,6478.57 
2021/7/20,33601.51 ,6563.95 
2021/7/19,33969.80 ,6665.18 
2021/7/16,34370.84 ,6793.68 
2021/7/15,34501.54 ,6775.57 
2021/7/14,33830.39 ,6705.65 
2021/7/13,34258.15 ,6855.41 
2021/7/12,34061.51 ,6841.89 
2021/7/9,33631.19 ,6925.36 
2021/7/8,33993.21 ,6965.50 
2021/7/7,34501.96 ,7004.84 
2021/7/6,34582.55 ,7092.13 
2021/7/5,34676.30 ,6895.07 
2021/7/2,34512.97 ,6976.94 
2021/6/30,34865.93 ,7189.74 
2021/6/29,35226.78 ,6891.83 
2021/6/28,35383.31 ,6895.12 
2021/6/25,35541.98 ,6958.10 
2021/6/24,35477.05 ,7068.84 
2021/6/23,35544.69 ,7016.75 
2021/6/22,35177.20 ,7043.31 
2021/6/21,35053.57 ,7002.14 
2021/6/18,35465.56 ,7011.88 
2021/6/17,35591.48 ,7085.04 
2021/6/16,35677.09 ,7177.35 
2021/6/15,35830.10 ,7174.21 
2021/6/11,36269.66 ,7099.13 
2021/6/10,36263.94 ,7277.39 
2021/6/9,35995.70 ,7336.72 
2021/6/8,35662.35 ,7403.11 
2021/6/7,35322.89 ,7473.41 
2021/6/4,35140.20 ,7438.57 
2021/6/3,35252.41 ,7559.17 
2021/6/2,35666.73 ,7615.68 
2021/6/1,35660.68 ,7635.92 
2021/5/31,35576.38 ,7586.99 
2021/5/28,36094.18 ,7614.97 
2021/5/27,35788.80 ,7659.70 
2021/5/26,35836.27 ,7755.17 
2021/5/25,35380.82 ,7751.60 
2021/5/24,35170.79 ,7637.99 
2021/5/21,35133.11 ,7493.96 
2021/5/20,35173.81 ,7556.37 
2021/5/18,35249.64 ,7634.50 
2021/5/17,34605.52 ,7627.51 
2021/5/14,34654.45 ,7755.92 
2021/5/13,34609.84 ,7684.65 
2021/5/12,35167.07 ,7663.75 
2021/5/11,35431.36 ,7580.18 
2021/5/10,36119.88 ,7588.97 
2021/5/7,35837.84 ,7706.78 
2021/5/6,35513.75 ,7657.25 
2021/5/5,35388.87 ,7788.70 
2021/5/4,35308.99 ,7818.38 
2021/5/3,35127.96 ,7870.86 
2021/4/30,35327.71 ,7962.44 
2021/4/29,35649.07 ,7905.51 
2021/4/28,35436.10 ,7916.82 
2021/4/27,35485.17 ,7886.85 
2021/4/26,35579.62 ,7971.58 
2021/4/23,35854.85 ,8117.36 
2021/4/22,35900.28 ,8072.58 
2021/4/21,35874.37 ,8090.42 
2021/4/20,36095.94 ,8169.95 
2021/4/19,36105.37 ,8174.72 
2021/4/16,36238.64 ,8080.17 
2021/4/15,36198.73 ,8131.57 
2021/4/14,36045.67 ,8044.52 
2021/4/13,35491.68 ,8116.51 
2021/4/12,35115.32 ,8104.73 
2021/4/9,35281.05 ,8135.51 
2021/4/8,35363.64 ,8280.25 
2021/4/7,35256.52 ,8189.41 
2021/4/1,35333.93 ,8258.03 
2021/3/31,35457.60 ,8183.79 
2021/3/30,36433.13 ,8217.83 
2021/3/29,35795.96 ,8365.10 
2021/3/26,34888.67 ,8298.65 
2021/3/25,34298.66 ,8233.62 
2021/3/24,34470.18 ,8197.02 
2021/3/23,35147.20 ,8219.26 
2021/3/22,35212.86 ,8407.61 
2021/3/19,35035.80 ,8456.11 
2021/3/18,35223.48 ,8376.94 
2021/3/17,35143.94 ,8649.41 
2021/3/16,35078.61 ,8646.22 
2021/3/15,35040.06 ,8729.87 
2021/3/12,34736.55 ,8415.97 
2021/3/11,34786.01 ,8448.99 
