Date,Evergrande sales,Vanke sales,Country Garden sales
2021/8/31,38080 ,37030 ,45210 
2021/7/31,43780 ,51540 ,54280 
2021/6/30,71630 ,67630 ,53330 
2021/5/31,63860 ,57560 ,57380 
2021/4/30,68140 ,49770 ,52820 
2021/3/31,64800 ,62840 ,52690 
2021/2/28,30230 ,45160 ,46550 
2021/1/31,58120 ,71470 ,40320 
2020/12/31,44590 ,101540 ,12820 
2020/11/30,46070 ,57540 ,57140 
2020/8/31,51480 ,58720 ,60930 
2020/7/31,50300 ,59020 ,54280 
2020/6/30,76050 ,73370 ,60960 
2020/5/31,60220 ,61280 ,56110 
2020/4/30,65210 ,47950 ,49000 
2020/3/31,62080 ,54940 ,47040 
2020/2/29,44730 ,28030 ,20920 
2020/1/31,40550 ,54910 ,32920 
