Date,Evergrande,Agile,Longfor,CR Land,Sunac,Vanke,Country Garden Holdings
2021/9/20,2.28 ,6.08 ,31.20 ,27.75 ,12.98 ,18.40 ,6.55 
2021/9/17,2.54 ,6.50 ,32.55 ,28.50 ,14.50 ,18.70 ,6.97 
2021/9/16,2.63 ,6.30 ,33.00 ,27.50 ,13.72 ,18.78 ,6.67 
2021/9/15,2.81 ,6.85 ,34.25 ,28.45 ,15.46 ,19.36 ,7.19 
2021/9/14,2.97 ,7.29 ,34.85 ,29.30 ,16.30 ,20.20 ,7.88 
2021/9/13,3.37 ,7.67 ,35.50 ,30.30 ,18.36 ,21.30 ,8.57 
2021/9/10,3.62 ,7.50 ,36.05 ,30.30 ,18.70 ,20.95 ,8.47 
2021/9/9,3.55 ,7.43 ,34.75 ,29.15 ,18.16 ,20.60 ,8.28 
2021/9/8,3.71 ,7.54 ,34.60 ,29.80 ,19.04 ,21.05 ,8.32 
2021/9/7,3.57 ,7.79 ,34.50 ,29.40 ,19.54 ,21.35 ,8.27 
2021/9/6,3.87 ,8.08 ,35.40 ,29.80 ,19.90 ,21.45 ,8.62 
2021/9/3,3.90 ,8.38 ,36.05 ,30.30 ,20.45 ,21.70 ,8.76 
2021/9/2,4.07 ,8.98 ,36.05 ,29.75 ,20.00 ,21.90 ,8.66 
2021/9/1,4.22 ,8.98 ,35.30 ,29.20 ,20.05 ,21.75 ,8.69 
2021/8/31,4.36 ,8.92 ,33.70 ,28.95 ,19.90 ,21.00 ,8.60 
2021/8/30,4.39 ,8.81 ,35.05 ,28.55 ,19.52 ,20.75 ,8.50 
2021/8/27,4.37 ,8.67 ,36.15 ,28.90 ,19.38 ,22.30 ,8.54 
2021/8/26,4.23 ,8.68 ,35.60 ,27.45 ,19.18 ,22.05 ,8.33 
2021/8/25,4.56 ,8.89 ,37.20 ,27.60 ,19.64 ,22.90 ,8.42 
2021/8/24,4.48 ,8.78 ,36.55 ,27.20 ,19.26 ,23.25 ,8.29 
2021/8/23,4.31 ,8.57 ,35.90 ,26.95 ,18.80 ,22.50 ,8.19 
2021/8/20,4.92 ,8.81 ,36.45 ,27.45 ,19.08 ,22.60 ,8.15 
2021/8/19,5.00 ,9.07 ,36.40 ,27.90 ,19.38 ,22.85 ,8.20 
2021/8/18,5.25 ,9.29 ,37.60 ,28.80 ,20.55 ,23.55 ,8.62 
2021/8/17,5.29 ,8.89 ,37.75 ,29.45 ,20.35 ,23.45 ,8.46 
2021/8/16,5.53 ,9.11 ,37.95 ,29.65 ,20.90 ,23.15 ,8.59 
2021/8/13,5.72 ,9.06 ,37.35 ,29.15 ,20.85 ,23.40 ,8.53 
2021/8/12,5.81 ,9.04 ,38.35 ,29.45 ,20.90 ,23.40 ,8.43 
2021/8/11,6.33 ,9.15 ,38.85 ,30.15 ,21.30 ,23.75 ,8.47 
2021/8/10,5.87 ,8.90 ,36.35 ,28.10 ,22.20 ,22.55 ,8.28 
2021/8/9,5.47 ,8.83 ,35.60 ,27.15 ,21.60 ,22.45 ,8.18 
2021/8/6,5.20 ,8.59 ,35.05 ,26.00 ,20.55 ,21.15 ,7.81 
2021/8/5,5.45 ,8.66 ,35.75 ,26.55 ,20.70 ,21.10 ,7.92 
2021/8/4,5.44 ,8.86 ,36.40 ,26.80 ,20.55 ,21.00 ,7.96 
2021/8/3,5.22 ,8.82 ,36.95 ,27.00 ,20.50 ,21.30 ,7.93 
2021/8/2,5.67 ,8.86 ,37.55 ,27.25 ,20.95 ,21.10 ,7.88 
2021/7/30,5.26 ,8.50 ,36.25 ,26.00 ,20.15 ,20.25 ,7.60 
2021/7/29,5.79 ,8.85 ,39.20 ,27.90 ,21.05 ,20.30 ,7.97 
2021/7/28,5.80 ,8.92 ,39.90 ,27.35 ,21.05 ,19.74 ,7.96 
2021/7/27,5.81 ,8.84 ,39.70 ,28.80 ,20.45 ,19.42 ,7.81 
2021/7/26,6.71 ,9.26 ,41.55 ,30.45 ,21.80 ,21.00 ,7.97 
2021/7/23,7.26 ,9.64 ,43.25 ,31.45 ,23.65 ,22.60 ,8.25 
2021/7/22,7.81 ,9.70 ,44.10 ,31.45 ,24.10 ,22.65 ,8.39 
2021/7/21,7.24 ,9.55 ,42.25 ,30.50 ,23.05 ,21.95 ,8.08 
2021/7/20,7.37 ,9.42 ,41.75 ,30.60 ,22.45 ,22.35 ,8.08 
2021/7/19,8.21 ,9.58 ,41.80 ,31.05 ,23.95 ,22.65 ,8.15 
2021/7/16,9.80 ,9.90 ,41.85 ,31.80 ,24.90 ,23.40 ,8.29 
2021/7/15,8.95 ,9.84 ,42.10 ,31.90 ,25.25 ,23.10 ,8.38 
2021/7/14,8.91 ,9.58 ,41.55 ,31.10 ,24.10 ,22.60 ,8.23 
2021/7/13,9.28 ,9.78 ,42.45 ,31.65 ,24.35 ,23.20 ,8.31 
2021/7/12,9.34 ,9.68 ,41.40 ,31.50 ,24.25 ,24.65 ,8.34 
2021/7/9,9.47 ,9.59 ,40.95 ,30.80 ,24.15 ,24.35 ,8.21 
2021/7/8,9.62 ,9.62 ,41.45 ,31.25 ,23.95 ,24.40 ,8.25 
2021/7/7,9.87 ,9.70 ,41.50 ,31.30 ,24.55 ,24.50 ,8.35 
2021/7/6,9.97 ,9.90 ,42.40 ,31.55 ,24.60 ,24.80 ,8.50 
2021/7/5,10.04 ,9.91 ,42.60 ,30.85 ,24.30 ,24.00 ,8.58 
2021/7/2,10.06 ,10.00 ,42.75 ,31.50 ,26.60 ,24.45 ,8.65 
2021/6/30,10.12 ,10.06 ,43.50 ,31.45 ,26.65 ,24.30 ,8.70 
2021/6/29,10.54 ,10.22 ,44.60 ,32.55 ,27.20 ,24.70 ,8.90 
2021/6/28,10.44 ,10.22 ,44.25 ,32.95 ,27.30 ,24.95 ,9.00 
2021/6/25,10.62 ,10.40 ,44.75 ,33.15 ,27.45 ,25.10 ,9.02 
2021/6/24,10.90 ,10.32 ,44.25 ,33.10 ,27.65 ,25.00 ,9.03 
2021/6/23,10.46 ,10.12 ,43.75 ,33.20 ,27.80 ,24.95 ,9.05 
2021/6/22,10.88 ,10.14 ,43.40 ,32.95 ,27.50 ,24.65 ,8.95 
2021/6/21,10.80 ,9.99 ,42.90 ,33.15 ,27.45 ,24.55 ,8.93 
2021/6/18,9.91 ,10.10 ,46.10 ,33.70 ,27.25 ,24.55 ,8.98 
2021/6/17,10.44 ,10.34 ,45.15 ,36.55 ,28.20 ,25.00 ,9.16 
2021/6/16,10.52 ,10.30 ,45.40 ,36.15 ,28.60 ,25.10 ,9.24 
2021/6/15,10.94 ,10.50 ,45.60 ,35.95 ,28.60 ,24.80 ,9.31 
2021/6/11,11.22 ,10.82 ,46.10 ,36.40 ,29.10 ,25.35 ,9.59 
2021/6/10,11.22 ,10.82 ,46.35 ,36.40 ,29.40 ,25.50 ,9.57 
2021/6/9,11.54 ,10.84 ,45.60 ,36.25 ,28.95 ,25.75 ,9.55 
2021/6/8,12.04 ,10.76 ,45.35 ,36.10 ,29.05 ,25.95 ,9.49 
2021/6/7,11.78 ,10.74 ,44.70 ,35.55 ,28.75 ,25.70 ,9.35 
2021/6/4,11.42 ,10.70 ,45.35 ,35.45 ,28.85 ,25.95 ,9.39 
2021/6/3,11.18 ,10.86 ,45.15 ,35.95 ,29.15 ,26.40 ,9.48 
2021/6/2,11.80 ,10.92 ,45.15 ,36.50 ,29.30 ,26.70 ,9.88 
2021/6/1,11.86 ,10.76 ,45.55 ,36.70 ,29.10 ,26.75 ,9.90 
2021/5/31,11.64 ,11.04 ,45.40 ,36.35 ,28.65 ,26.85 ,9.83 
2021/5/28,12.10 ,10.96 ,45.45 ,36.65 ,28.55 ,26.75 ,9.89 
2021/5/27,12.58 ,11.36 ,45.40 ,37.00 ,28.90 ,26.85 ,9.84 
2021/5/26,12.90 ,11.28 ,46.00 ,37.05 ,28.95 ,26.80 ,10.00 
2021/5/25,12.50 ,11.40 ,45.95 ,36.60 ,28.55 ,26.35 ,9.94 
2021/5/24,12.48 ,11.42 ,45.90 ,36.30 ,28.60 ,26.25 ,9.84 
2021/5/21,12.76 ,11.38 ,46.05 ,36.05 ,28.50 ,26.20 ,9.79 
2021/5/20,12.72 ,11.36 ,46.90 ,35.90 ,28.70 ,26.40 ,9.73 
2021/5/18,13.00 ,11.54 ,46.65 ,36.50 ,29.30 ,26.60 ,9.78 
2021/5/17,12.76 ,11.02 ,45.80 ,35.35 ,28.85 ,26.30 ,9.41 
2021/5/14,12.48 ,12.08 ,45.15 ,35.50 ,29.10 ,26.30 ,9.35 
2021/5/13,12.48 ,12.04 ,45.10 ,35.50 ,28.95 ,26.00 ,9.25 
2021/5/12,12.62 ,12.12 ,45.75 ,36.65 ,29.35 ,26.35 ,9.25 
2021/5/11,12.58 ,12.20 ,47.40 ,37.10 ,30.00 ,26.55 ,9.28 
2021/5/10,12.90 ,12.50 ,48.60 ,37.60 ,30.50 ,26.65 ,9.50 
2021/5/7,13.18 ,12.54 ,49.00 ,37.45 ,30.85 ,26.95 ,9.50 
2021/5/6,13.32 ,12.42 ,48.35 ,37.70 ,31.20 ,26.75 ,9.42 
2021/5/5,13.36 ,12.40 ,48.90 ,37.45 ,31.10 ,26.95 ,9.45 
2021/5/4,13.26 ,12.36 ,48.75 ,36.90 ,30.70 ,26.90 ,9.29 
2021/5/3,13.14 ,12.36 ,48.55 ,36.00 ,30.25 ,26.75 ,9.22 
2021/4/30,13.16 ,12.18 ,48.45 ,36.45 ,30.25 ,27.20 ,9.25 
2021/4/29,13.38 ,12.26 ,48.55 ,36.95 ,30.60 ,27.05 ,9.33 
2021/4/28,13.42 ,12.02 ,48.90 ,36.70 ,30.50 ,26.35 ,9.32 
2021/4/27,13.44 ,12.14 ,48.80 ,36.75 ,30.85 ,26.45 ,9.36 
2021/4/26,13.48 ,12.18 ,48.75 ,36.35 ,30.80 ,25.85 ,9.39 
2021/4/23,13.74 ,12.38 ,49.55 ,36.90 ,31.55 ,26.55 ,9.60 
2021/4/22,13.80 ,12.62 ,49.60 ,37.50 ,31.70 ,27.95 ,9.59 
2021/4/21,13.88 ,12.46 ,50.45 ,37.10 ,31.65 ,27.75 ,9.62 
2021/4/20,14.00 ,12.56 ,50.55 ,37.15 ,32.20 ,28.40 ,9.78 
2021/4/19,14.02 ,12.34 ,52.05 ,37.30 ,31.75 ,28.25 ,9.74 
2021/4/16,14.04 ,12.30 ,51.80 ,37.60 ,31.05 ,28.25 ,9.70 
2021/4/15,13.76 ,12.14 ,51.65 ,37.20 ,31.00 ,27.90 ,9.69 
2021/4/14,13.98 ,12.26 ,51.05 ,36.85 ,31.20 ,28.10 ,9.80 
2021/4/13,14.02 ,12.26 ,50.45 ,36.25 ,31.25 ,27.60 ,9.65 
2021/4/12,14.16 ,12.58 ,50.00 ,36.50 ,31.20 ,28.25 ,9.72 
2021/4/9,14.26 ,12.80 ,50.00 ,36.60 ,32.15 ,28.45 ,9.83 
2021/4/8,14.44 ,13.14 ,51.15 ,36.85 ,32.70 ,28.30 ,10.00 
2021/4/7,14.22 ,13.08 ,50.50 ,37.10 ,33.50 ,29.40 ,10.00 
2021/4/1,14.32 ,12.90 ,50.45 ,37.20 ,33.45 ,29.15 ,10.04 
2021/3/31,14.80 ,12.74 ,51.50 ,37.65 ,33.35 ,30.45 ,9.98 
2021/3/30,15.40 ,12.70 ,53.45 ,39.20 ,33.75 ,32.15 ,10.00 
2021/3/29,15.34 ,12.66 ,51.55 ,40.80 ,33.40 ,31.90 ,9.86 
2021/3/26,14.82 ,12.50 ,48.20 ,39.15 ,32.80 ,31.00 ,9.73 
2021/3/25,14.44 ,12.12 ,45.55 ,37.95 ,32.85 ,30.75 ,9.00 
2021/3/24,14.92 ,12.16 ,46.05 ,38.10 ,32.80 ,31.15 ,9.41 
2021/3/23,15.02 ,11.68 ,46.05 ,38.15 ,33.00 ,32.20 ,9.51 
2021/3/22,15.04 ,11.20 ,45.75 ,38.50 ,33.45 ,32.30 ,9.55 
2021/3/19,15.04 ,11.00 ,45.85 ,37.60 ,33.85 ,32.20 ,9.50 
2021/3/18,15.22 ,10.88 ,46.35 ,38.95 ,33.90 ,33.05 ,9.69 
2021/3/17,15.06 ,11.02 ,47.10 ,38.35 ,34.10 ,33.35 ,9.70 
2021/3/16,15.14 ,11.02 ,48.05 ,37.95 ,34.20 ,33.10 ,9.69 
2021/3/15,14.90 ,10.74 ,48.10 ,37.75 ,33.45 ,31.55 ,9.42 
2021/3/12,15.10 ,10.86 ,49.15 ,35.90 ,32.40 ,31.25 ,9.29 
2021/3/11,15.12 ,10.74 ,49.35 ,35.60 ,30.25 ,30.90 ,9.22 
2021/3/10,14.90 ,10.62 ,49.60 ,36.05 ,30.65 ,30.75 ,9.35 
2021/3/9,14.74 ,10.66 ,48.35 ,35.85 ,30.40 ,30.60 ,9.36 
2021/3/8,14.78 ,10.52 ,48.65 ,36.75 ,30.55 ,30.70 ,9.24 
2021/3/5,15.24 ,10.70 ,48.70 ,36.60 ,31.45 ,31.55 ,9.29 
2021/3/4,15.52 ,10.64 ,49.15 ,36.95 ,32.10 ,32.60 ,9.39 
2021/3/3,15.86 ,10.88 ,50.00 ,37.95 ,32.90 ,33.30 ,9.58 
2021/3/2,15.86 ,11.00 ,48.30 ,37.40 ,32.30 ,32.95 ,9.35 
2021/3/1,15.76 ,10.84 ,47.70 ,36.30 ,32.85 ,33.10 ,9.50 
2021/2/26,15.88 ,10.96 ,46.00 ,36.85 ,33.20 ,32.90 ,9.65 
2021/2/25,16.58 ,10.92 ,45.40 ,36.65 ,33.90 ,33.55 ,9.89 
2021/2/24,15.56 ,10.30 ,42.25 ,32.95 ,30.15 ,29.90 ,9.21 
2021/2/23,16.08 ,10.20 ,43.20 ,33.60 ,31.10 ,30.50 ,9.43 
2021/2/22,16.12 ,9.86 ,42.35 ,33.60 ,30.50 ,30.50 ,9.39 
2021/2/19,16.50 ,10.06 ,41.80 ,32.90 ,31.20 ,30.75 ,9.28 
2021/2/18,16.48 ,10.08 ,42.65 ,32.40 ,30.70 ,30.50 ,9.30 
2021/2/17,16.70 ,9.97 ,41.45 ,31.70 ,31.10 ,29.80 ,9.32 
2021/2/16,16.80 ,10.04 ,42.25 ,31.85 ,30.70 ,30.15 ,9.40 
2021/2/11,16.10 ,10.02 ,41.50 ,31.25 ,30.10 ,29.50 ,9.26 
2021/2/10,16.10 ,9.97 ,41.65 ,31.60 ,30.00 ,29.50 ,9.31 
2021/2/9,15.90 ,9.87 ,41.10 ,31.10 ,29.95 ,29.10 ,9.37 
2021/2/8,15.48 ,9.96 ,41.50 ,31.25 ,30.10 ,29.50 ,9.32 
2021/2/5,15.40 ,9.91 ,41.25 ,30.75 ,29.90 ,29.05 ,9.38 
2021/2/4,15.10 ,9.92 ,40.50 ,30.10 ,29.50 ,28.20 ,9.19 
2021/2/3,15.18 ,10.02 ,41.50 ,30.85 ,29.50 ,28.45 ,9.28 
2021/2/2,15.48 ,9.97 ,42.80 ,31.15 ,29.45 ,28.60 ,9.39 
2021/2/1,15.20 ,9.79 ,42.95 ,30.90 ,28.90 ,28.15 ,9.42 
2021/1/29,14.94 ,9.68 ,43.85 ,30.90 ,28.95 ,27.85 ,9.37 
